label,hu-HU,de-CH,nl-BE,es,en,fr,zh,ru,th,tr,id,pt-BR,hr-HR
items_add_minus,Mennyiség hozzáadása/elvétele,Bestandsänderung,Corrigatie hoeveelheid,Inventario a agregar/substraer,Inventory to add/subtract,Ajoujer/Soustraire à l'Inventaire,增/減庫存,Инвентарь для сложения/вычитания,เพิ่ม/ลบ จำนวนสินค้าคงคลัง,Eklenen/Çıkarılan Adet,Penyesuaian Inventori TAMBAH / KURANG (-),Inventário para adicionar/subtrair,Dodavanje/skidanje s inventure
items_allow_alt_desciption,Alternativ leirás eng.,Erlaube Alt. Bez.,,,,,,,Allow Alt Description,,,Descrição longa,Dozvoli Alt opis
items_allow_alt_description,Alternativ leirás eng.,Erlaube Alt. Bez.,Aanpasbare omschrijving,Permitir Descripción Alternativa,Allow Alt Description,Autoriser Description Alt,允許ALT描述,Разрешить альтернативные описания,แสดงข้อมูลเพิ่มเติม,Dip Nota izin ver,Deskripsi Alternatif dimungkinkan,Permitir atualizar descrição,Dozvoli Alt opis
items_amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon,Amazon
items_bulk_edit,Tömeges módosítás,Sammeländerung,Bewerk Selectie,Edición Múltiple,Bulk Edit,Édition en groupe,批次編輯,Массовое изменение,แก้ไขความจุ,Toplu Düzenleme,Ubah Massal,Editar Múltiplos Itens,Zajedno uređenje
items_buy_price_required,Vételár kötelező mező,Einkaufspreis ist erforderlich,Buy price is a required field,Precio de Compra es requerido,Purchase price is a required field,Le Prix d'achat est requis,進貨價為必填欄位,Цена покупки обязательное пробелья,ราคาซื้อขายต้องกรอก,Alış Fiyatı zorunlu alandır,Harga Beli wajib diisi,Preço de compra é um campo obrigatório,Prodajna cijena je potrebna
items_cannot_be_deleted,"Nem törölhető a kiválasztott termék, mert van folyamatban lévő eladás!","Gewählte Artikel können nicht gelöscht werden, einer odere mehrere weisen Verkäufe auf",De geselecteerde producten konden niet worden verwijderd.,No se pueden borrar los artículos seleccionados. Uno o más tiene(n) ventas.,"Could not deleted selected items, one or more of the selected items has sales.",Impossible de supprimer. Un ou plusiers des items sélectionnés a des ventes.,無法刪除選定產品，所選產品中的一個或多個有銷售紀綠。,"Невозможно удалить выбранные товари, один или более из выбранных товаров имеет продаж.","ไม่สามารถลบสินค้าที่เลือก, สินค้าที่เลือกถูกขายไปแล้ว.","Seçili ürünler silinemedi, bazı ürünlerin satışı var.","Tidak dapat menghapus item terpilih, satu atau lebih item yang dipilih memiliki penjualan.",Não foi possível excluir os itens selecionados um ou mais dos itens selecionados tem vendas.,"Nemožete obrisati odabranu stavku, jedna ili više odabranih stavki ima prodaju."
items_cannot_find_item,Nem található információ a termékről,Konnte Artikel nicht finden,Er werd geen informatie gevonden omtrent product,No puedo encontrar información acerca del artículo,Cannot find any information about item,Impossible de récu[érer des informations,無法找到任何有關的產品,не могу найти любую информацию о товаре,ไม่พบข้อมูลของสินค้า,Ürün bilgisi bulunamadı,Tidak dapat menemukan informasi apapun tentang item,Não consegue encontrar qualquer informação sobre o produto,Nema informacije o odabranoj stavci
items_category,Kategória,Kategorie,Categorie,Categoría,Category,Categorie,類別,Категория,หมวดหมู่,Kategori,Kategori,Categoria,Kategorija
items_category_required,Kategória kötelező mező,Kategorie ist erforderlich,Categorie moet ingevuld worden,Categoría es requerido,Category is a required field,La Catégorie est requise,類別為必填欄位,Категория обязательное пробелья,หมวดหมู่สินค้าต้องกรอก,Kategori zorunlu alandır,Kategori wajib diisi,Categoria é um campo obrigatório,Kategorija je potrebna
items_change_all_to_allow_alt_desc,Alternativ leirás eng. mindenhol,Ändere alle zu Erlaube Alt. Bez.,Aanpasb. omschrijvingen,Permitir Descripción Alternativa Para Todos, Allow Alt Desc For All, Autoriser Desc Alt Pour Tous, 充許全部ALT倒序,Разрешить альтернативные Описание для всех, Allow Alt Desc For All, Tümünde dip nota izin ver, Diijinkan Deskripsi alternatif untuk semua,Permitir alterar desconto para todos,Dozvali Alt opis za sve
items_change_all_to_not_allow_allow_desc,Alternativ leirás tiltása,Ändere alle zu NICHT Erlaube Alt. Bez.,Vaste omschrijvingen,Denegar Descripción Alternativa Para Todos,Not Allow Alt Desc For All,Interdire Desc Alt Pour Tous,不允許全部ALT倒序,Не разрешить альтернативные Описание для всех,Not Allow Alt Desc For All,Tümünde dip nota izin verme,Tidak Diijinkan Deskripsi alternatif untuk semua,Não Permitir alterar desconto para todos,Nije dozvoljen Alt opis za sve
items_change_all_to_serialized,Change All To Serialized,Ändere alle zu serialisiert,Genummerd,Cambiar Todo A Serializado,Change All To Serialized,Tout Sérialiser,全部更改序號至序列化,Изменить все в сериализованную,เปลี่ยนแปลงรหัสสินค้าทั้งหมด,Tümünü seri numaralı yap,Ubah semua menggunakan nomor serial,Alterar todos para serializados,Promijeni sve u serijske brojeve
items_change_all_to_unserialized,Change All To Unserialized,Ändere alle zu nicht serialisiert,Niet genummerd,Cambiar Todo A Deserializado,Change All To Unserialized,Tout désérialiser,全部更改序號至非序列化,Изменить все в несериализованную,ลบรหัสสินค้าทั้งหมด,Tümünü seri numarasız yap,Ubah semua tanpa nomor serial,Alterar todos para desserializados,ukloni sve serijske brojeve
items_confirm_bulk_edit,Biztosan módosítani kívánja a kiválasztott termékeket?,Wollen Sie alle gewählten Artikel ändern?,Bent u zeker dat u de geselecteerde producten wil aanpassen?,¿Estás seguro(a) de querer editar los artículos seleccionados?,Are you sure you want to edit all the items selected?,Etes vous sûre de vouloir éditer toute la sélection?,您確定您要編輯的所有選定的產品嗎？,"Вы уверены, что хотите редактировать все товари выбраны?",แน่ใจหรือไม่ที่จะแก้ใขสินค้าทั้งหมดที่คุณเลือก?,Seçili tüm ürünleri düzenlemek istediğinize emin misiniz?,Apakah Anda yakin ingin merubah semua item yang dipilih?,Tem certeza de que deseja editar todos os itens selecionados?,Jeste li sigurni da želite urediti odabrane stavke?
items_confirm_bulk_edit_wipe_taxes,Minden termék adó információja cserélve lesz!,All item tax information will be replaced!,Alle taxgegevens zullen overschreven worden!,All item tax information will be replaced!,All item tax information will be replaced!,All item tax information will be replaced!,All item tax information will be replaced!,All item tax information will be replaced!,All item tax information will be replaced!,All item tax information will be replaced!,All item tax information will be replaced!,Tem certeza de que deseja editar todos osimpostos selecionados?,Sve stavke poreznih informacija bit će zamijenjene
items_confirm_delete,Biztosan törölni kívánja a kijelölt termékeket?,Wollen Sie alle gewählten Artikel löschen?,Bent u zeker dat u de geselecteerde producten wil verwijderen?,¿Estás seguro(a) de querer borrar los artículos seleccionados?,Are you sure you want to delete the selected items?,Etes vous sûre de vouloir supprimer la sélection?,你確定你要刪除選定的產品嗎？,"Вы уверены, что хотите удалить выбранные товари?",โปรดยืนยันการลบสินค้าที่ถูกเลือก?,Seçili ürünleri silmek istediğinize emin misiniz?,Apakah Anda yakin ingin menghapus item yang dipilih?,Tem certeza de que deseja excluir os itens selecionados?,Jeste li sigrni da želite obrisati odabrane stavke?
items_cost_price,Beker. Ár,Einstandspreis,Aankoopprijs,Precio de Compra,Cost Price,Prix de Gros,成本價,Оптовая Цена,ราคาทุน,Maliyet Fiyatı,Harga Pokok,Preço de Custo,Nabavna cijena
items_cost_price_number,Bekerülési árnak számnak kell lennie,Einstandspresi muss eine Zahl sein,Kostprijs moet een cijfer zijn,Precio de Compra debe ser número,Cost price must be a number,Le Prix d'achat doit etre un nombre,成本價必需是數值,Оптовая цена должно быть число,ราคาทุนต้องเป็นตัวเลข,Fiyat sayı olmalıdır (9.90),Biaya Item harus angka,Preço de custo deve ser um número,Nabavna cijena mora biti broj
items_cost_price_required,Bekerülési ár kötelező mező,Einstandspreis ist erforderlich,Aankoopprijs moet ingevuld worden,Precio de Compra es requerido,Cost Price is a required field,Le Prix de gros est requis,成本價為必填攔位,Оптовая цена обязательное пробелья,ราคาทุนต้องกรอก,Maliyet Fiyatı zorunlu alandır,Biaya Item wajib diisi,Preço de custo é um campo obrigatório,Nabavna cijena je potrebna
items_count,Raktárkészlet módosítása,Ändere Bestand,Update Stock,Actualizar Inventario,Update Inventory,Mise à jour Inventaire,更新庫存,Обновление инвентории,แก้ไขจำนวนสินค้าคงคลัง,Stoğu Güncelle,Mutasi/Penyesuaian Inventori,Acrescentar ao Inventário,Ažuriraj inveturu
items_current_quantity,Jelenlegi mennyiség,Aktuelle Menge,Huidige hoeveelheid,Cantidad Actual,Current Quantity,Quantité Actuelle,當前數量,Количество Сейчас,ปริมาณสินค้าคงคลัง,Mevcut Adet,Jumlah Saat ini,Quantidade Atual,Trenutna količina
items_description,Leírás,Bezeichnung,Omschrijving,Descripción,Description,Description,描述,Описание,รายละเอียด,Tanım,Deskripsi,Descrição,Opis
items_details_count,Raktárkészlet információk,Lagerbestandsdetails,Stockgegevens,Detalles de Cuenta de Inventario,Inventory Count Details,Détais Inventaire,庫存盤點詳情,детали инвентаризацего количество,รายละเอียดจำนวนสินค้าคงคลัง,Stok Hareket Detayları,Jumlah Detail Inventori,Detalhes da contagem de inventário,Pojedinosati o količinama inventure
items_do_nothing,Ne csináljon semmit,Tue nichts,Doe Niets,No Hacer Nada,Do Nothing,Ne rien faire,沒有執行任何修改,Ничего не делать,ไม่ต้องทำอะไร,Değiştirme,Tidak ada Perubahan,Nada a fazer,Ne radi ništa
items_edit_fields_you_want_to_update,Edit the fields you want to edit for ALL selected items,Ändern Sie die Felder für ALLE gewählten Artikel?,Bewerk de velden aan die u wil aanpassen voor ALLE geselecteerde producten,Edita los campos que quieras actualizar en TODOS los artículos seleccionados,Edit the fields you want to edit for ALL selected items,Modifiez les champs que vous voulez éditer pour TOUS les items sélectionnés,編輯您選定產品的所有欄位,Отредактируйте пробела вы хотите изменить для всех выбранных товаров,แก้ไขสินค้าทุกชนิดที่คุณเลือก,Seçili TÜM ürünler için düzenlemek istediğiniz alanları girin,Ubah bagian yang ingin Anda edit untuk SEMUA Item yang dipilih,Editar os campos que deseja editar para todos os itens selecionados,Uredi polja koja želite urediti za sve odabrane stavke
items_edit_multiple_items,Editing Multiple Items,Sammeländerung,Meerdere Producten Bewerken,Editando Artículos Múltiples,Editing Multiple Items,Édition Multiple d'Items,編輯多項產品,Редактирование нескольких товаров,แก้ใขสินค้าต่างๆ,Çoklu Ürün Güncelleme,Ubah Beberapa Item,Editando Múltiplos Itens,Uredi višestruke stavke
items_error_adding_updating,Termék módositása/hozzáadása sikertelen.,Fehler beim Hinzufügen/Ändern,Fout bij het toevoegen/aanpassen van een product,Error agregando/actualizando artículo,Error adding/updating item,Erreur d'ajout/éditionn,新增/更新產品錯誤,Ошибка при добавлении/обновлении товара,เพิ่ม/ปรับแต่ง สินค้าล้มเหลว,Ürün ekleme/düzenleme hatası,Kesalahan ketika menambahkan/memperbarui item,Erro ao adicionar/atualizar item ,Greška kod dodavanja/ažuriranja stavke
items_error_updating_multiple,Termék módositás sikertelen,Fehler beim Ändern,Fout bij het bewaren van producten,Error actualizando artículos,Error updating items,Erreur d'édition,更新產品錯誤,Ошибка при обновлении товаров,ปรับแต่งสินค้าล้มเหลว,Ürün düzenleme hatası,Kesalahan ketika memperbarui item,Erro na atualização de itens,Greška kod ažuriranja stavki
items_excel_import_failed,Excel import sikertelen,Excel Import fehlerhaft,Excel import mislukt,Falló la importación de Hoja de Cálculo,Excel import failed,Echec Import d'Excel,Excel匯入失敗,Ошибка импорта Excel,นำเข้าข้อมูล Excel ล้มเหลว,Excel aktarım hatası,Impor dari Excel tidak berhasil dilakukan,Importação do Excel falhou,Greška kod uvoza iz Excel-a
items_generate_barcodes,Vonalkód generálás,Generiere Barcodes,Genereer Barcodes,Generar Códigos de Barras,Generate Barcodes,Générer des Coddes-barre,產生條碼,Создайте штрих-кодов,พิมพ์บาร์โค๊ด,Barkod Üret,Buat Barcode,Gerar Códigos de Barras,Generiraj barkod
items_image,Avatar,Bild,Afbeelding,Avatar,Avatar,Avatar,Avatar,Avatar,รูป,Avatar,Avatar,Avatar,Slika
items_info_provided_by,Info provided by,Info provided by,Info provided by,Info provista por,Info provided by,Infos fournies by,訊息提供者,"Информация, представленная",จัดเตรียมข้อมูลโดย,Bilgi sağlayan,Info disediakan oleh,Informação fornecida por,Info daje
items_inventory,Raktárkészlet,Lagerbestand,Stock,Inventario,Inventory,Inventaire,庫存,инвентаризация,สินค้าคงเหลือ,Stok,Inventori,Inventário,Inventura
items_inventory_comments,Megjegyzés,Bemerkungen,Commentaar,Comentarios,Comments,Commentaires,評論,Комментарии,คำอธิบาย,Yorumlar,Keterangan,Comentário,Komentari
items_is_deleted,Törölve,Gelöscht,Verwijderd,Eliminado,Deleted,Supprimé,Deleted,Deleted,ถูกลบแล้ว,Silinmiş,Item dihapus,Apagado,Obrisano
items_is_serialized,Terméknek van sorozatszáma,Artikel hat Serien-Nr.,Optelbaar,El Artículo tiene Número de Serie,Item has Serial Number,Item a un Numéro de Série,產品有序號,Товар имеет серийный номер,สินค้ามีซีเรียลนัมเบอร์,Seri Numaralı Ürün,Item Memiliki Nomor Serial,Item tem Número Serial,Artikal ima ser. broj
items_item,Termék információ,Artikel,Product,Artículo,Item,Item,產品,Товар,สินค้า,Ürün,Item,Item,Stavka
items_item_number,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,UPC/EAN/ISBN,โค๊ด,UPC/EAN/ISBN,Kode Barang,Cod. Barra,UPC/EAN/ISBN
items_item_number_duplicate,A termék száma már szerepel az adatbázisban,Die Artikelnummer existiert bereits in der Datenbank,De barcode nummer is reeds aanwezig in de database,El número de artículo ya esta presente en la base de datos,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,The item number is already present in the database,O número do item já está presente na base de dados,Broj stavke već postoji u bazi
items_location,Helyszín,Ort,Locatie,Ubicación,Location,Location,位置,место,ที่ตั้ง,Yer,Lokasi Barang,Localização,Mjesto
items_empty_upc_items,Üres UPC term.,Leere UPC Artikel,Zonder barcode,Empty UPC Items,Empty UPC Items,Empty UPC Items,Empty UPC Items,Empty UPC Items,Empty UPC Items,Empty UPC Items,Empty UPC Items,Vazio UPC Itens,UPC artikal
items_low_inventory_items,Kifogyott term.,nicht am Lager,Niet in stock,Artículos de Inventario Escaso,Out Of Stock Items,Items à Stock Faible,低庫存產品,Низкий инвентаризации товары,สินค้าคงเหลือน้อย,,Daftar Stock Rendah,Itens sem estoque,Rasprodaja artikala
items_manually_editing_of_quantity,Mennyiség módosítása manuálisan,Manuelle Bestandesänderung,Manuele aanpassing hoeveelheid,Edición Manual de Cantidad,Manual Edit of Quantity,Édition Manuelle de Quantité,手動編輯數量,Руководство Изменить количество,แก้ไขจำนวน,Elle adet düzeltme,Perubahan jumlah Stok secara manual,Editar manualmente a quantidade,Ručno uređivanje količine
items_name,Terméknév,Artikelname,Productnaam,Nombre del Artículo,Item Name,Nom,產品名稱,название товара,ชื่อสินค้า,Ürün Adı,Nama Barang,Nome produto,Naziv artikla
items_name_required,Terméknév kötelező mező,Artikelname ist erforderlich,Productnaam moet ingevuld worden,Nombre de Artículo es requerido,Item Name is a required field,Le Nom est requis,產品名稱為必填,Название товара обязательное пробелья,ชื่อสินค้าต้องกรอก,Ürün Adı zorunlu alandır,Nama item wajib diisi,Nome do item é um campo obrigatório,Naziv artikla je potreban
items_new,Új termék,Neuer Artikel,Nieuw Product,Nuevo Artículo,New Item,Nouvel Item,新增產品,Новый Товар,เพิ่มรายการสินค้า,Yeni Ürün,Buat Item Baru,Novo Item,Novi artikal
items_no_description_items,Leirás nélk.,Artikel ohne Bezeichnung,Producten zonder omschrijving,Artículos sin Descripción,No Description Items,Items sans Description,產品沒有說明,без Описание товары,สินค้าที่ไม่มีคำอธิบายหรือวิธีการใช้,Tanımı olmayan ürünler,Produk/Item tidak ada deskripsi,Sem descrição dos Itens,Artikal nema opisa
items_no_items_to_display,Nincsenek megjeleníthető termékek,Keine Artikel zum Anzeigen,Er werden geen producten gevonden,No hay artículos que mostrar,No Items to display,Aucun Items à afficher,沒有產品可以顯示,Нет товаров для отображения,ไม่มีสินค้าแสดง,Gösterecek Ürün Yok,Tidak ada item untuk ditampilkan,Sem itens para mostrar,Nema artikla za prikazati
items_none,Egysem,Nichts,Geen,Ninguno,None,Aucun,無,Ничего,ว่างเปล่า,Hiçbiri,Tidak Ada,Nenhum,Egysem
items_none_selected,Nem választott ki terméket a módosításhoz,Sie haben keine Artikel zum Ändern gewählt,U hebt geen producten geselecteerd,No has seleccionado artículos para editar,You have not selected any items to edit,Vous n'avez sélectionné aucun élément,您還沒有選擇任何產品進行編輯,Вы не выбрали ни одной товари для редактирования,กรุณาเลือสินค้าที่ต้องการแก้ไข,Düzenlemek için ürün seçmediniz,Anda belum memilih item untuk diubah,Não selecionou nenhum produto para editar,Niste odabrali nijedan artikal za uređivanje
items_number_information,Termék száma,Artikelnummer,Productnummer,Número del Artículo,Item Number,Numbéro d'Item,產品編號,Номер Товара,หมายเลขสินค้า,Ürün No,Nomor Barang,Item Número,Redni broj
items_number_required,UPC/EAN/ISBN kötelező mező,UPC/EAN/ISBN ist erforderlich,UPC/EAN/ISBN moet ingevuld worden,UPC/EAN/ISBN es requerido,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,UPC/EAN/ISBN is a required field,Cod. Barra é um campo obrigatório,UPC/EAN/ISBN je potreban
items_one_or_multiple,termék(ek),Artikel,product(en) verwijderd,articulo(s),item(s),item(s),產品,товар(а),สินค้า(s),ürün,Item Barang,item(s),Artikal(i)
items_quantity,Mennyiség,Menge,Stock,Cantidad en Stock,Quantity,Quantité,數量,Количество,จำนวน,Adet,Jumlah,Quantidade,Količina
items_quantity_number,A mennyiségnek számnak kell lennie,Menge muss eine Zahl sein,Hoeveelheid moet een cijfer zijn,Cantidad debe ser número,Quantity must be a number,La Quantité doit etre un nombre,數量必需是數值,Количество должно быть число,จำนวนต้องเป็นตัวเลข,Adet sayı olmalıdır,Jumlah harus angka,Quantidade deve ser um número,Količina mora biti broj
items_quantity_required,A mennyiség kötelező mező,Menge ist erforderlich,Hoeveelheid moet ingevuld worden,Cantidad es requerido,Quantity is a required field,La Quantité est requise,數量為必填欄位,Количество обязательное пробелья,จำนวนต้องกรอก,Adet zorunlu alandır,Jumlah wajib diisi,Quantidade é um campo obrigatório,
items_receiving_quantity,Egységcsom mennyiség,Eingangsmenge,Aantal per lijn,Cantidad Recibida,Receiving quantity,Receiving quantity,Receiving quantity,Receiving quantity,ยอดรับมา,Receiving quantity,Receiving quantity,Quantidade a receber,Zaprimljena količina
items_reorder_level,Újrarend szint,Mindestbestand,Reorder Level,Cantidad Mínima,Reorder Level,Niveau de Réapprovisionnement,補貨點,Минимальный уровень перед заказом,ระดับการสั่งใหม่,Düşük Stok,Batas pesan ulang,Nível de reposição,Poredaj razine
items_reorder_level_number,Újrarendelési szintnek számnak kell lennie.,Mindestbestand muss eine Zahl sein,Reorder level moet een cijfer zijn,Cantidad Mínima debe ser número,Reorder level must be a number,Le Niveaux de Réapprovisionnement doit etre un nombre,補貨點必需是數值,Минимальный уровень перед заказом должно быть число,ระดับการสั่งใหม่ต้องเป็นตัวเลข,Düşük stok sayı olmalıdır,Batas pesan ulang harus angka,Nível de reposição deve ser um número,Numeracija mora biti numerička
items_reorder_level_required,Újrarendelési mező kötelező,Mindestbestand ist erforderlich,Reorder level moet ingevuld worden,Cantidad Mínima es requerido,Reorder level is a required field,Le Niveaux de Réapprovisionnement est requis,補貨點為必填欄位,Минимальный уровень перед заказом обязательное пробелья,ระดับการสั่งไหม่ต้องกรอก,Düşük Stok zorunlu alandır,Batas pesan ulang wajib diisi,Nível de reposição é um campo obrigatório,Numeracija je obavezna
items_retrive_item_info,Retrive Item Info,Artikelinformation,Haal productinformatie op,Obtener Info de Artículo,Retrive Item Info,Récupérer Informations,檢索產品訊息,Получить Детальная информация,รับข้อมูลสินค้า,Ürün Bilgisi Getir,Dapatkan Info Item Barang,Recuperar Informação do Item,Info o zaprimljenom artiklu
items_sales_tax_1,Értékesítési adó 1,Umsatzsteuer 1,VAT,Impuesto de Ventas 1,Sales Tax,Taxe Vente,營業稅,Налог на покупку,ถาษีขาย,Satış Vergisi,Pajak Penjualan1,Imposto de venda,Prodajni porez 1
items_sales_tax_2,Értékesítési adó 2,Umsatzsteuer 2,VAT 2,Impuesto de Ventas 2,Sales Tax 2,Taxe Vente 2,營業稅 2,Налог на покупку 2,ภาษีขาย 2,Satış Vergisi 2,Pajak Penjualan2,Imposto de venda 2,Prodajni porez 2
items_search_custom_items,Egyedi mezők,Suche in Zusatzfeldern,Doorzoek Tags,Buscar en campos personalizados,Search Custom Fields,Rechercher dans les Champs Choisis,Search Custom Fields,Искать в дополнительных товарях,ค้นหาในฟิลด์เสริม,Özel Alanları Ara,Cari secara manual,Pesquisar campos personalizados,Polje za pretragu
items_serialized_items,Szerializált termékek,Serialisierte Artikel,Serialized Items,Artículos Serializados,Serialized Items,Items Serialisés,序列化產品,Сериализованные товары,รหัสสินค้า,Seri Numaralı Ürünler,Serial Item,Serializar Itens,Artikl ima ser. broj
items_stock_location,Raktárhely,Lagerort,Stock locatie,Ubicación de Inventario,Stock location,Stock location,Stock location,Stock location,ที่เก็บ,Mağaza Yeri,Stock location,Localização do estoque,Mjesto skladišta
items_successful_adding,Sikeresen hozzáadott egy terméket,Artikel erfolgreich hinzugefügt,Product succesvol toegevoegd,Has agregado satisfactoriamente un artículo,You have successfully added item,Ajout enregistré,已成功新增產品,Вы успешно добавлен товар,เพิ่มสินค้าสำเร็จ,Ürün ekleme başarılı,Item Barang telah berhasil ditambahkan,Você adicionou o item com sucesso,Uspješno ste dodali artikal
items_successful_bulk_edit,Sikeresen módosította a kiválasztott termékeket,Die gewählten Artikel wurden erforlgreich geändert,Producten werden succesvol bewaard,Has actualizado satisfactoriamente los artículos seleccionados,You have successfully updated the selected items,Édition réussie,您已成功更新所選產品,Вы успешно обновили выбранных товаров,ปรับแต่งสินค้าสำเร็จ,Seçili ürün düzenlendi,Anda telah berhasil memperbarui item yang dipilih,Você atualizou com sucesso os itens selecionados,Uspješno ste ažurirali odabrane stavke
items_successful_deleted,Sikeres törlés,Löschung erfolgreich,Er werd(en),Has borrado satisfactoriamente,You have successfully deleted,Suppréssion réussie,刪除成功,Вы успешно удалили,ลบสินค้าสำเร็จ,Silme başarılı,Item Barang telah berhasil dihapus,Você excluiu com sucesso,Uspješno ste obrisali artikl
items_successful_updating,Sikeresen módosította a terméket,Änderung erfolgreich,Wijzigingen bewaard voor,Has actualizando satisfactoriamente un artículo,You have successfully updated item,Édition enregistrée,已成功更新產品,Вы успешно обновленного товара,ปรับแต่งสินค้าสำเร็จ,Ürün düzenleme başarılı,Item Barang telah berhasil diperbarui,Você atualizou com sucesso o item,Uspješno ste ažurirali artikl
items_supplier,Beszállító,Lieferant,Leverancier,Proveedor,Supplier,Fournisseur,供貨商,Поставщик,ผู้ผลิต,Sağlayıcı,Pemasok,Fornecedor,Dobavljač
items_tax_1,Adó 1,MWSt 1,VAT,Impuesto 1,Tax 1,Taxe 1,稅額 1,Налог 1,ภาษี 1,Vergi 1,Pajak 1,Imposto 1,Porez 1
items_tax_2,Adó 2,MWSt 2,VAT 2,Impuesto 2,Tax 2,Taxe 2,稅額 2,Налог 2,ภาษี 2,Vergi 2,Pajak 2,Imposto 2,Porez 2
items_tax_percent,Adó %,MWSt %,VAT %,Porcentaje de Impuesto,Tax Percent,Pourcentage d'imposition,稅率,процент налога,ภาษี(%),Vergi Yüzdesi,Tarif Pajak,Percentual Imposto,% poreza
items_tax_percent_required,Adó % kötelező mező,MWSt % ist erforderlich,Taxpercentage moet ingevuld worden,Porcentaje de Impuesto es requerido,Tax Percent is a required field,Le Pourcentage d'imposition est requis,稅率為必填欄位,Процент Налоги обязательное пробелья,เปอร์เซ็นต์ต้องกรอก,Vergi Oranı zorunlu alandır,Tarif Pajak wajib diisi,Imposto Percentual um campo obrigatório,% poreza je obavezan
items_tax_percents,Adó százalék(ok),Steuerprozent(e),VAT,Porcentaje de Impuesto(s),Tax Percent(s),Pourcents(s) de taxes,稅率 %,процент налога(и),ภาษี(%),Vergi Yüzdesi,Tarif Pajak,Imposto Percentual,%-ci poreza
items_unit_price,Kisker. Ár,Preis,Verkoopprijs,Precio de Venta,Retail Price,Prix au Détail,單價,Розничная Цена,ราคาขาย,Satış Fiyatı,Harga Jual,Preço Varejo,Maloprodajna cijena
items_unit_price_number,Egységárnak számnak kell lennie,Preis muss eine Zahl sein,Verkoopprijs moet een cijfer zijn,Precio de Venta debe ser número,Unit price must be a number,Le Prix unitaire doit etre un nombre,單價必需是數值,Розничная Цена должно быть число,ราคาต่อหน่วยต้องเป็นตัวเลข,Fiyat sayı olmalıdır (9.90),Harga satuan harus angka,Preço unitário deve ser um número,Maloprodajna cijena mora biti broj
items_unit_price_required,Kiskereskedelmi ár kötelező mező,Preis ist erforderlich,Verkoopprijs moet ingevuld worden,Precio de Venta es requerido,Retail Price is a required field,Le Prix de revente est requis,單價為必填欄位,Розничная цена обязательное пробелья,ราคาต่อหน่วยต้องกรอก,Satış Fiyatı zorunlu alandır,Harga Jual wajib diisi,Preço de varejo é um campo obrigatório,Maloprodajna cijena je obavezna
items_upc_database,UPC adatbázis,UPC Datenbank,UPC Database,Base de datos UPC,UPC Database,Base de Données UPC,UPC Database,UPC база данных,UPC ฐานข้อมูล,UPC Veritabanı,Database UPC,Base de dados UPC,UPC baza
items_update,Termék módosítás,Ändere Artikel,Bewerk Product,Actualizar Artículo,Update Item,Éditer Item,更新產品,Обновить Товар,ปรับแต่งสินค้า,Ürün Güncelle,Ubah,Atualizar Item,Ažuriraj artikl
items_use_inventory_menu,Készl. menü haszn.,Verwende Bestandesmenu,Use Inv. Menu,Usar Menú de Inventario,Use Inv. Menu,Utiliser Menu Inv.,使用庫存清單,Используйте меню инвентаря,ใช้เมนูสินค้าคงเหลือ,Stok Menüsünü Kullan,Gunakan Inv. Menu,Usar Menu Inventário,Koristi inv. meni
items_import_items_excel,Termékek importálása Excelből,Importiere Artikel mit Excel Datei,Import items from Excel sheet,Importar Artículos desde Excel,Import items from Excel sheet,Import items from Excel sheet,Import items from Excel sheet,Import items from Excel sheet,Import items from Excel sheet,Import items from Excel sheet,Import items from Excel sheet,Importar planilha de produtos do Excel,Uvezi stavke iz Excel-a
items_select_image,Kép kiválasztása,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Select Image,Selecionar imagem,Odaberi sliku
items_change_image,Kép cseréje,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Change Image,Substituir imagem,Promjeni sliku
items_remove_image,Kép eltávolítása,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remove Image,Remover imagem,Ukloni sliku
